States,Visitors,Longitude,Latitude
Johor,15805,103.412,2.00649
Kedah,13444,100.647,5.80958
Kelantan,7549,102.005,5.40349
Melaka,15559,102.293,2.32162
Negeri Sembilan,14959,102.149,2.70857
Pahang,16456,102.491,3.84557
Pulau Pinang,13128,100.261,5.36839
Perak,17108,101.059,4.74737
Perlis,1951,100.253,6.52169
Selangor,27579,101.428,3.3078
Terengganu,11761,103.013,4.94214
Sabah,16080,117.095,5.31115
Sarawak,17901,113.344,2.44952
W.P. Kuala Lumpur,22233,101.698,3.13836
W.P. Labuan,331,115.222,5.32524
W.P. Putrajaya,1900,101.706,2.93814
