States,Visitors,Longitude,Latitude,total_visitor_per_1k_pop
Johor,15805000,103.412,2.00649,73.94359608
Kedah,13444000,100.647,5.80958,62.89767198
Kelantan,7549000,102.005,5.40349,35.31795045
Melaka,15559000,102.293,2.32162,72.79268658
Negeri Sembilan,14959000,102.149,2.70857,69.98559024
Pahang,16456000,102.491,3.84557,76.98929561
Pulau Pinang,13128000,100.261,5.36839,61.41926791
Perak,17108000,101.059,4.74737,80.03967363
Perlis,1951000,100.253,6.52169,9.127741597
Selangor,27579000,101.428,3.3078,129.0281832
Terengganu,11761000,103.013,4.94214,55.02376675
Sabah,16080000,117.095,5.31115,75.2301819
Sarawak,17901000,113.344,2.44952,83.74971929
Kuala Lumpur,22233000,101.698,3.13836,104.0169549
Labuan,331000,115.222,5.32524,1.548581481
Putrajaya,1900000,101.706,2.93814,8.889138409
